avgTa,minTa,maxTa,sumRn,avgWs,avgRhm,avgTs,avgTd,avgPs,flood_risk,tm,rn_sum,rn_max,rn_mean,ws_max,ws_mean,ta_mean,hm_mean,month,day,weekday,is_weekend,is_rainy,rain_hours,max_hourly_rn
-0.8,-4.8,2.3,0.1,2.8,63.3,0.3,-7.7,1025.9,0,2000-01-10,0.1,0.1,0.0333333333333333,4.7,3.0041666666666664,-0.5,62.833333333333336,1,10,0,0,0,0,0.1
3.7,2.6,5.1,3.9,2.9,81.8,2.3,0.8,1019.6,0,2000-01-12,2.2,0.8,0.55,4.4,3.3375,3.633333333333333,78.04166666666667,1,12,2,0,0,1,3.9
0.7,-2.1,4.0,1.7,3.0,83.8,0.8,-1.7,1016.6,0,2000-01-13,3.4,1.7,0.5666666666666667,5.2,3.1791666666666667,1.0708333333333333,86.625,1,13,3,0,0,1,1.7
-4.7,-7.5,-1.2,0.8,3.3,71.1,-4.1,-9.3,1021.6,0,2000-01-19,0.8,0.6,0.1142857142857143,6.1,3.716666666666667,-4.2875000000000005,69.29166666666667,1,19,2,0,0,0,0.8
-8.5,-11.4,-5.4,0.0,3.9,55.5,-7.4,-16.1,1032.8,0,2000-01-20,0.0,0.0,0.0,6.3,4.179166666666666,-8.208333333333334,54.625,1,20,3,0,0,0,0.0
-2.5,-6.7,1.6,1.2,2.2,62.8,-2.3,-9.4,1031.1,0,2000-01-22,0.6000000000000001,0.4,0.3,3.5,2.341666666666667,-2.8791666666666664,60.125,1,22,5,1,0,0,1.2
2.4,-1.1,7.4,0.4,2.0,72.8,2.4,-2.4,1024.2,0,2000-01-23,1.0,0.6,0.25,3.7,2.2208333333333337,2.1750000000000003,75.33333333333333,1,23,6,1,0,0,0.4
-0.3,-4.1,2.7,0.0,2.0,71.4,-1.0,-4.9,1032.6,0,2000-01-29,0.0,,,3.9,2.0541666666666667,-0.5916666666666667,68.20833333333333,1,29,5,1,0,0,0.0
-4.3,-8.1,1.0,0.0,4.5,58.6,-4.0,-11.6,1034.1,0,2000-01-30,0.0,0.0,0.0,7.4,5.008333333333334,-3.545833333333333,60.125,1,30,6,1,0,0,0.0
-1.8,-4.3,2.0,0.0,2.1,69.9,-2.2,-6.6,1028.4,0,2000-02-03,0.0,0.0,0.0,6.2,2.225,-1.75,68.33333333333333,2,3,3,0,0,0,0.0
-0.5,-5.9,4.1,0.5,1.7,66.3,-2.3,-6.6,1025.3,0,2000-02-05,0.1,0.1,0.1,4.0,1.9166666666666667,-0.5125000000000001,61.41666666666666,2,5,5,1,0,0,0.5
-0.1,-1.3,2.3,0.7,2.6,83.4,0.1,-2.9,1020.4,0,2000-02-06,1.1,0.4,0.22,5.8,2.875,-0.1416666666666667,82.91666666666667,2,6,6,1,0,0,0.7
-1.6,-5.3,1.7,0.0,2.7,68.1,-1.9,-6.8,1016.4,0,2000-02-07,0.0,0.0,0.0,5.2,2.8666666666666667,-1.3375,70.41666666666667,2,7,0,0,0,0,0.0
1.6,-1.0,5.3,0.0,2.4,67.0,1.1,-4.2,1020.1,0,2000-02-11,0.0,0.0,0.0,5.0,2.5458333333333334,1.4083333333333332,65.04166666666667,2,11,4,0,0,0,0.0
-0.3,-4.3,3.5,0.9,4.1,58.8,0.2,-8.6,1015.4,0,2000-02-14,0.9,0.5,0.45,7.2,4.229166666666667,0.1,61.54166666666666,2,14,0,0,0,0,0.9
0.6,-2.9,4.4,0.0,2.6,58.8,1.1,-6.5,1023.4,0,2000-02-23,0.0,0.0,0.0,5.4,2.704166666666667,0.775,59.66666666666666,2,23,2,0,0,0,0.0
0.5,-2.4,3.7,0.0,2.7,60.9,2.5,-6.3,1018.9,0,2000-02-26,0.0,0.0,0.0,5.5,2.970833333333333,0.3374999999999999,57.583333333333336,2,26,5,1,0,0,0.0
1.8,-3.6,6.2,0.0,4.0,59.1,1.6,-5.4,1021.7,0,2000-02-27,0.0,0.0,0.0,9.8,4.420833333333333,1.6708333333333334,58.29166666666666,2,27,6,1,0,0,0.0
-0.8,-4.8,3.9,0.0,3.6,51.3,0.1,-9.8,1021.2,0,2000-03-08,0.0,0.0,0.0,7.1,4.004166666666666,-0.9958333333333332,48.5,3,8,2,0,0,0,0.0
5.2,3.6,7.0,0.0,1.5,79.0,4.1,1.9,1018.1,0,2000-03-11,0.0,0.0,0.0,4.2,1.75,5.3125,78.66666666666667,3,11,5,1,0,0,0.0
7.8,1.0,13.8,0.0,2.1,47.0,5.2,-3.7,1015.8,0,2000-03-15,0.0,,,5.5,2.2958333333333334,7.395833333333333,42.208333333333336,3,15,2,0,0,0,0.0
5.6,3.6,9.3,0.1,3.4,62.6,5.5,-1.2,1009.6,0,2000-03-16,0.1,0.1,0.0333333333333333,7.0,3.641666666666667,5.775,60.875,3,16,3,0,0,0,0.1
6.4,3.2,10.0,0.4,3.2,70.1,7.7,1.1,1015.6,0,2000-03-19,0.4,0.4,0.2,6.8,3.575,6.391666666666667,69.45833333333333,3,19,6,1,0,0,0.4
7.3,4.8,10.1,1.2,3.8,75.5,7.6,3.2,1013.6,0,2000-03-23,1.2,0.7,0.3999999999999999,7.6,4.116666666666666,7.483333333333333,68.95833333333333,3,23,3,0,0,0,1.2
13.1,5.1,18.9,1.2,4.6,50.6,11.1,2.4,1008.7,0,2000-03-27,0.0,,,11.2,4.958333333333333,12.8875,45.958333333333336,3,27,0,0,0,0,1.2
11.0,6.0,15.8,0.1,3.9,65.1,12.5,4.4,1001.2,0,2000-03-28,1.3,1.2,0.65,7.0,4.516666666666667,11.258333333333333,66.625,3,28,1,0,0,0,0.1
7.7,3.8,11.9,0.1,4.1,54.9,10.9,-1.1,1010.5,0,2000-03-29,0.1,0.1,0.05,6.7,4.65,7.325,54.54166666666666,3,29,2,0,0,0,0.1
9.6,6.1,13.3,0.0,4.3,48.5,13.4,-1.5,1013.5,0,2000-04-05,0.0,0.0,0.0,7.9,4.941666666666666,10.041666666666666,49.04166666666666,4,5,2,0,0,0,0.0
11.8,5.9,19.2,0.8,2.1,47.5,14.1,0.4,1015.8,0,2000-04-09,0.0,0.0,0.0,6.0,2.475,11.8375,43.875,4,9,6,1,0,0,0.8
6.0,2.9,9.7,4.2,5.2,50.9,10.6,-4.4,1012.8,0,2000-04-10,5.0,1.5,0.7142857142857143,9.1,5.6625000000000005,6.291666666666667,54.75,4,10,0,0,0,1,4.2
12.0,8.8,18.1,1.4,2.2,48.0,12.8,1.1,1010.3,0,2000-04-15,1.4,0.8,0.2799999999999999,5.9,2.3833333333333333,11.975,47.375,4,15,5,1,0,0,1.4
14.8,11.2,17.7,0.0,3.0,54.5,15.4,5.5,1015.9,0,2000-04-18,0.0,0.0,0.0,6.8,3.3708333333333336,14.3375,54.41666666666666,4,18,1,0,0,0,0.0
14.6,10.0,20.0,4.0,2.7,64.6,15.9,7.6,1010.2,0,2000-04-19,4.0,1.7,0.3333333333333333,5.7,3.1625,14.504166666666668,63.54166666666666,4,19,2,0,0,1,4.0
15.5,9.2,23.5,0.0,2.9,60.5,17.2,7.7,1011.9,0,2000-04-20,0.0,,,7.0,3.2,15.129166666666668,58.5,4,20,3,0,0,0,0.0
12.1,10.0,14.9,9.0,2.9,83.9,13.8,9.4,1007.1,0,2000-04-21,9.0,3.7,0.6428571428571429,5.8,3.3000000000000003,12.170833333333334,84.25,4,21,4,0,0,3,9.0
9.6,7.5,11.9,4.1,3.1,72.8,10.2,4.8,1005.1,0,2000-04-22,4.1,1.8,0.82,7.6,3.5875,9.6375,73.91666666666667,4,22,5,1,0,1,4.1
15.4,9.8,20.9,0.5,1.9,44.0,14.8,2.9,1008.1,0,2000-04-25,0.4,0.3,0.08,4.8,2.225,14.979166666666666,42.333333333333336,4,25,1,0,0,0,0.5
11.3,9.3,14.4,3.1,2.5,84.0,11.4,8.6,1001.5,0,2000-04-26,3.2,1.0,0.3555555555555555,5.4,2.704166666666667,11.441666666666668,81.91666666666667,4,26,2,0,0,1,3.1
9.5,8.2,10.4,3.6,1.7,89.6,9.6,7.8,1006.7,0,2000-04-27,3.6,1.5,0.4,3.8,1.9416666666666669,9.495833333333334,88.79166666666667,4,27,3,0,0,1,3.6
14.2,10.8,19.2,0.0,3.2,71.1,18.2,8.9,1007.2,0,2000-05-01,0.0,0.0,0.0,7.5,3.720833333333333,13.779166666666669,72.66666666666667,5,1,0,0,0,0,0.0
16.9,12.9,22.2,1.8,1.9,55.0,18.9,7.2,1014.2,0,2000-05-05,0.2,0.2,0.04,4.5,1.95,17.054166666666667,50.083333333333336,5,5,4,0,0,1,1.8
15.5,12.3,19.6,1.8,3.0,63.0,18.3,7.7,1014.3,0,2000-05-06,3.4,1.7,0.6799999999999999,5.4,3.345833333333333,15.4,65.79166666666667,5,6,5,1,0,1,1.8
14.3,10.9,18.9,20.0,3.0,78.4,14.4,10.3,1005.7,0,2000-05-10,19.9,5.9,1.24375,6.6,3.1916666666666664,14.708333333333334,72.83333333333333,5,10,2,0,0,7,20.0
11.7,10.1,14.2,7.6,3.5,86.4,11.1,9.4,1005.9,0,2000-05-11,7.7,1.9,0.7000000000000001,6.3,4.1375,11.55,85.29166666666667,5,11,3,0,0,3,7.6
16.9,13.9,22.0,0.0,2.3,67.5,18.5,10.9,1011.6,0,2000-05-15,0.0,0.0,0.0,4.7,2.3625000000000003,16.845833333333335,61.833333333333336,5,15,0,0,0,0,0.0
16.7,13.4,20.1,0.6,1.9,75.9,16.9,12.3,1010.3,0,2000-05-16,0.6,0.5,0.1999999999999999,4.0,1.9125,16.433333333333334,74.125,5,16,1,0,0,0,0.6
15.7,12.7,20.1,27.0,1.8,83.0,17.6,12.6,1006.6,0,2000-05-19,26.5,8.8,2.409090909090909,4.3,2.125,15.425,80.66666666666667,5,19,4,0,0,9,27.0
16.7,11.2,23.0,0.0,1.9,66.1,18.9,9.9,1012.0,0,2000-05-21,0.0,0.0,0.0,3.3,2.0458333333333334,16.1125,69.25,5,21,6,1,0,0,0.0
22.6,18.3,27.7,3.1,1.6,62.8,23.3,14.7,1008.3,0,2000-05-26,2.1,1.0,0.525,5.6,1.7375,22.525,58.41666666666666,5,26,4,0,0,1,3.1
18.0,16.7,19.1,13.3,2.1,93.0,19.2,16.8,998.8,0,2000-05-27,14.3,1.5,0.7526315789473684,3.7,1.8,17.966666666666665,93.20833333333331,5,27,5,1,0,4,13.3
19.9,15.8,25.7,0.0,2.4,59.8,23.3,11.7,1004.3,0,2000-05-31,0.0,0.0,0.0,4.8,2.8208333333333333,19.5125,59.54166666666666,5,31,2,0,0,0,0.0
20.4,15.1,26.3,0.3,2.2,68.8,22.6,14.2,1011.2,0,2000-06-01,0.3,0.3,0.15,5.7,2.470833333333333,20.1375,66.625,6,1,3,0,0,0,0.3
24.9,18.5,31.6,0.0,1.2,64.5,27.5,17.2,1008.3,0,2000-06-03,0.0,0.0,0.0,3.2,1.3583333333333334,24.508333333333336,63.16666666666666,6,3,5,1,0,0,0.0
20.6,18.0,23.2,0.4,0.9,64.9,21.4,13.7,1001.7,0,2000-06-08,0.4,0.4,0.0571428571428571,3.0,0.9333333333333332,20.5125,61.208333333333336,6,8,3,0,0,0,0.4
