tm,avgTa,minTa,maxTa,sumRn,avgWs,avgRhm,avgTs,avgTd,avgPs,flood_risk
2000-01-10,-0.8,-4.8,2.3,0.1,2.8,63.3,0.3,-7.7,1025.9,0
2000-01-12,3.7,2.6,5.1,3.9,2.9,81.8,2.3,0.8,1019.6,0
2000-01-13,0.7,-2.1,4.0,1.7,3.0,83.8,0.8,-1.7,1016.6,0
2000-01-19,-4.7,-7.5,-1.2,0.8,3.3,71.1,-4.1,-9.3,1021.6,0
2000-01-20,-8.5,-11.4,-5.4,0.0,3.9,55.5,-7.4,-16.1,1032.8,0
2000-01-22,-2.5,-6.7,1.6,1.2,2.2,62.8,-2.3,-9.4,1031.1,0
2000-01-23,2.4,-1.1,7.4,0.4,2.0,72.8,2.4,-2.4,1024.2,0
2000-01-29,-0.3,-4.1,2.7,0.0,2.0,71.4,-1.0,-4.9,1032.6,0
2000-01-30,-4.3,-8.1,1.0,0.0,4.5,58.6,-4.0,-11.6,1034.1,0
2000-02-03,-1.8,-4.3,2.0,0.0,2.1,69.9,-2.2,-6.6,1028.4,0
2000-02-05,-0.5,-5.9,4.1,0.5,1.7,66.3,-2.3,-6.6,1025.3,0
2000-02-06,-0.1,-1.3,2.3,0.7,2.6,83.4,0.1,-2.9,1020.4,0
2000-02-07,-1.6,-5.3,1.7,0.0,2.7,68.1,-1.9,-6.8,1016.4,0
2000-02-11,1.6,-1.0,5.3,0.0,2.4,67.0,1.1,-4.2,1020.1,0
2000-02-14,-0.3,-4.3,3.5,0.9,4.1,58.8,0.2,-8.6,1015.4,0
2000-02-23,0.6,-2.9,4.4,0.0,2.6,58.8,1.1,-6.5,1023.4,0
2000-02-26,0.5,-2.4,3.7,0.0,2.7,60.9,2.5,-6.3,1018.9,0
2000-02-27,1.8,-3.6,6.2,0.0,4.0,59.1,1.6,-5.4,1021.7,0
2000-03-08,-0.8,-4.8,3.9,0.0,3.6,51.3,0.1,-9.8,1021.2,0
2000-03-11,5.2,3.6,7.0,0.0,1.5,79.0,4.1,1.9,1018.1,0
2000-03-15,7.8,1.0,13.8,0.0,2.1,47.0,5.2,-3.7,1015.8,0
2000-03-16,5.6,3.6,9.3,0.1,3.4,62.6,5.5,-1.2,1009.6,0
2000-03-19,6.4,3.2,10.0,0.4,3.2,70.1,7.7,1.1,1015.6,0
2000-03-23,7.3,4.8,10.1,1.2,3.8,75.5,7.6,3.2,1013.6,0
2000-03-27,13.1,5.1,18.9,1.2,4.6,50.6,11.1,2.4,1008.7,0
2000-03-28,11.0,6.0,15.8,0.1,3.9,65.1,12.5,4.4,1001.2,0
2000-03-29,7.7,3.8,11.9,0.1,4.1,54.9,10.9,-1.1,1010.5,0
2000-04-05,9.6,6.1,13.3,0.0,4.3,48.5,13.4,-1.5,1013.5,0
2000-04-09,11.8,5.9,19.2,0.8,2.1,47.5,14.1,0.4,1015.8,0
2000-04-10,6.0,2.9,9.7,4.2,5.2,50.9,10.6,-4.4,1012.8,0
2000-04-15,12.0,8.8,18.1,1.4,2.2,48.0,12.8,1.1,1010.3,0
2000-04-18,14.8,11.2,17.7,0.0,3.0,54.5,15.4,5.5,1015.9,0
2000-04-19,14.6,10.0,20.0,4.0,2.7,64.6,15.9,7.6,1010.2,0
2000-04-20,15.5,9.2,23.5,0.0,2.9,60.5,17.2,7.7,1011.9,0
2000-04-21,12.1,10.0,14.9,9.0,2.9,83.9,13.8,9.4,1007.1,0
2000-04-22,9.6,7.5,11.9,4.1,3.1,72.8,10.2,4.8,1005.1,0
2000-04-25,15.4,9.8,20.9,0.5,1.9,44.0,14.8,2.9,1008.1,0
